Tue Jun  1 12:16:27 2021
First batch shape: (The shape of batches are not same)
torch.Size([13, 8, 512]) 12
epo0 <tr>-<gen>: l_dis=1.47-1.47, l_cla=6.22-6.22, l_rec=66.57-90.42, l1=0.00, cer=146.42-122.24-121.92, time=56.7
epo461 <tr>-<gen>: l_dis=0.15-5.99, l_cla=3.55-3.97, l_rec=11.89-22.88, l1=0.00, cer=18.67-24.29-24.86, time=33.7
epo462 <tr>-<gen>: l_dis=0.12-6.46, l_cla=3.46-3.74, l_rec=12.59-21.36, l1=0.00, cer=19.71-22.03-23.47, time=34.4
epo463 <tr>-<gen>: l_dis=0.16-6.86, l_cla=3.43-3.67, l_rec=10.67-24.03, l1=0.00, cer=17.25-25.75-26.28, time=34.5
epo464 <tr>-<gen>: l_dis=0.17-6.55, l_cla=3.46-4.14, l_rec=12.63-22.60, l1=0.00, cer=19.36-24.71-23.21, time=35.3
epo465 <tr>-<gen>: l_dis=0.13-6.20, l_cla=3.37-3.87, l_rec=11.58-23.14, l1=0.00, cer=17.32-24.25-25.17, time=34.6
epo466 <tr>-<gen>: l_dis=0.16-6.47, l_cla=3.32-3.79, l_rec=12.58-23.11, l1=0.00, cer=17.57-25.79-25.55, time=34.4
epo467 <tr>-<gen>: l_dis=0.17-6.52, l_cla=3.35-4.00, l_rec=12.11-22.98, l1=0.00, cer=17.26-25.46-24.13, time=34.4
epo468 <tr>-<gen>: l_dis=0.15-5.93, l_cla=3.37-3.71, l_rec=12.44-22.30, l1=0.00, cer=18.05-24.64-22.68, time=34.5
epo469 <tr>-<gen>: l_dis=0.13-6.59, l_cla=3.38-4.27, l_rec=10.85-21.91, l1=0.00, cer=15.91-23.29-24.02, time=34.3
epo470 <tr>-<gen>: l_dis=0.12-6.85, l_cla=3.31-4.10, l_rec=13.19-22.39, l1=0.00, cer=19.47-22.47-22.83, time=34.4
epo471 <tr>-<gen>: l_dis=0.19-5.66, l_cla=3.33-3.83, l_rec=11.12-21.91, l1=0.00, cer=17.79-24.62-22.80, time=34.3
epo472 <tr>-<gen>: l_dis=0.13-6.16, l_cla=3.44-3.64, l_rec=11.81-21.30, l1=0.00, cer=16.28-22.12-23.12, time=34.5
epo473 <tr>-<gen>: l_dis=0.14-6.14, l_cla=3.38-4.16, l_rec=11.88-22.57, l1=0.00, cer=16.36-24.06-25.92, time=34.5
epo474 <tr>-<gen>: l_dis=0.12-6.13, l_cla=3.34-4.07, l_rec=10.72-21.89, l1=0.00, cer=15.31-22.42-23.65, time=34.5
epo475 <tr>-<gen>: l_dis=0.15-6.59, l_cla=3.32-3.76, l_rec=10.74-23.87, l1=0.00, cer=15.74-27.36-25.85, time=34.3
epo476 <tr>-<gen>: l_dis=0.13-6.59, l_cla=3.34-3.94, l_rec=11.93-21.75, l1=0.00, cer=18.00-22.20-24.08, time=34.6
epo477 <tr>-<gen>: l_dis=0.17-6.33, l_cla=3.39-3.78, l_rec=10.77-21.85, l1=0.00, cer=16.15-23.93-22.80, time=34.8
epo478 <tr>-<gen>: l_dis=0.14-7.12, l_cla=3.39-3.91, l_rec=11.41-22.42, l1=0.00, cer=16.07-24.68-24.37, time=34.4
epo479 <tr>-<gen>: l_dis=0.12-6.43, l_cla=3.32-3.90, l_rec=11.06-22.08, l1=0.00, cer=16.10-22.23-24.76, time=34.4
epo480 <tr>-<gen>: l_dis=0.26-4.99, l_cla=3.30-4.29, l_rec=10.98-21.21, l1=0.00, cer=15.42-21.89-23.00, time=34.2
EVAL: l_dis=7.371, l_cla=11.922, l_rec=22.245, cer=24.83-22.92, time=11.3
epo481 <tr>-<gen>: l_dis=0.12-7.76, l_cla=3.42-4.12, l_rec=11.73-21.85, l1=0.00, cer=16.84-23.39-23.19, time=33.9
epo482 <tr>-<gen>: l_dis=0.19-6.30, l_cla=3.26-3.92, l_rec=11.70-22.35, l1=0.00, cer=18.48-24.26-24.03, time=34.4
epo483 <tr>-<gen>: l_dis=0.15-5.93, l_cla=3.42-3.83, l_rec=10.61-21.09, l1=0.00, cer=15.86-21.92-23.13, time=34.4
epo484 <tr>-<gen>: l_dis=0.13-6.34, l_cla=3.31-3.80, l_rec=10.86-20.87, l1=0.00, cer=16.33-21.93-22.75, time=34.5
epo485 <tr>-<gen>: l_dis=0.16-5.95, l_cla=3.30-3.94, l_rec=11.16-21.45, l1=0.00, cer=16.60-21.65-24.71, time=34.3
epo486 <tr>-<gen>: l_dis=0.17-5.83, l_cla=3.37-3.85, l_rec=11.32-21.48, l1=0.00, cer=15.84-24.44-23.26, time=34.4
epo487 <tr>-<gen>: l_dis=0.11-7.09, l_cla=3.17-4.03, l_rec=10.44-22.10, l1=0.00, cer=15.12-22.80-25.03, time=34.3
epo488 <tr>-<gen>: l_dis=0.19-5.98, l_cla=3.31-3.62, l_rec=11.64-21.87, l1=0.00, cer=15.77-24.22-22.63, time=34.2
epo489 <tr>-<gen>: l_dis=0.19-5.83, l_cla=3.42-3.65, l_rec=10.74-23.09, l1=0.00, cer=14.07-22.67-26.35, time=34.5
epo490 <tr>-<gen>: l_dis=0.12-6.27, l_cla=3.40-3.64, l_rec=11.16-21.09, l1=0.00, cer=17.38-22.26-21.19, time=34.6
epo491 <tr>-<gen>: l_dis=0.11-7.07, l_cla=3.27-3.63, l_rec=11.15-21.37, l1=0.00, cer=16.99-21.88-22.09, time=34.0
epo492 <tr>-<gen>: l_dis=0.15-5.84, l_cla=3.36-3.70, l_rec=10.44-21.46, l1=0.00, cer=16.12-21.37-21.59, time=34.2
epo493 <tr>-<gen>: l_dis=0.12-6.89, l_cla=3.32-3.65, l_rec=12.32-21.96, l1=0.00, cer=17.20-24.35-22.93, time=34.3
epo494 <tr>-<gen>: l_dis=0.15-6.59, l_cla=3.36-3.89, l_rec=10.94-22.70, l1=0.00, cer=14.74-23.87-24.27, time=34.1
epo495 <tr>-<gen>: l_dis=0.15-6.42, l_cla=3.30-3.79, l_rec=11.30-21.48, l1=0.00, cer=16.23-24.14-22.41, time=34.1
epo496 <tr>-<gen>: l_dis=0.17-6.68, l_cla=3.48-3.84, l_rec=9.98-21.68, l1=0.00, cer=13.50-22.17-23.81, time=34.3
epo497 <tr>-<gen>: l_dis=0.11-6.55, l_cla=3.24-3.70, l_rec=10.04-22.15, l1=0.00, cer=14.77-22.87-24.09, time=34.6
epo498 <tr>-<gen>: l_dis=0.17-7.03, l_cla=3.26-4.38, l_rec=11.20-20.39, l1=0.00, cer=17.61-21.82-22.22, time=34.2
epo499 <tr>-<gen>: l_dis=0.18-6.04, l_cla=3.17-3.95, l_rec=12.21-22.01, l1=0.00, cer=17.73-24.47-21.33, time=34.3
epo500 <tr>-<gen>: l_dis=0.14-6.46, l_cla=3.15-3.93, l_rec=10.31-21.05, l1=0.00, cer=14.41-19.51-23.61, time=34.3
EVAL: l_dis=6.622, l_cla=11.921, l_rec=19.698, cer=22.19-21.30, time=11.2
epo501 <tr>-<gen>: l_dis=0.17-5.60, l_cla=3.36-3.86, l_rec=12.44-19.89, l1=0.00, cer=17.54-21.62-20.15, time=33.7
epo502 <tr>-<gen>: l_dis=0.14-6.23, l_cla=3.26-3.85, l_rec=11.47-21.90, l1=0.00, cer=15.37-22.18-23.03, time=34.0
epo503 <tr>-<gen>: l_dis=0.15-5.89, l_cla=3.34-4.00, l_rec=11.54-21.27, l1=0.00, cer=16.54-23.23-21.54, time=34.2
epo504 <tr>-<gen>: l_dis=0.14-6.86, l_cla=3.32-3.80, l_rec=11.62-21.16, l1=0.00, cer=15.32-22.31-21.64, time=34.3
epo505 <tr>-<gen>: l_dis=0.16-6.98, l_cla=3.29-3.81, l_rec=10.29-22.31, l1=0.00, cer=13.39-23.47-24.40, time=34.4
epo506 <tr>-<gen>: l_dis=0.16-6.30, l_cla=3.25-3.72, l_rec=12.29-21.59, l1=0.00, cer=16.97-24.84-22.21, time=34.6
epo507 <tr>-<gen>: l_dis=0.11-5.58, l_cla=3.23-3.73, l_rec=10.25-20.17, l1=0.00, cer=15.37-21.52-20.86, time=34.7
epo508 <tr>-<gen>: l_dis=0.14-7.46, l_cla=3.40-4.04, l_rec=10.39-21.14, l1=0.00, cer=15.58-21.72-21.98, time=34.1
epo509 <tr>-<gen>: l_dis=0.14-6.30, l_cla=3.28-3.89, l_rec=11.27-20.20, l1=0.00, cer=16.02-21.24-21.74, time=34.4
epo510 <tr>-<gen>: l_dis=0.16-6.70, l_cla=3.20-3.90, l_rec=10.80-20.77, l1=0.00, cer=14.40-20.33-22.71, time=34.4
epo511 <tr>-<gen>: l_dis=0.13-5.78, l_cla=3.19-3.86, l_rec=10.78-19.88, l1=0.00, cer=15.03-19.46-20.97, time=34.7
epo512 <tr>-<gen>: l_dis=0.18-6.57, l_cla=3.23-3.71, l_rec=12.67-19.79, l1=0.00, cer=17.54-19.10-20.57, time=34.5
epo513 <tr>-<gen>: l_dis=0.13-5.80, l_cla=3.23-3.63, l_rec=10.89-20.75, l1=0.00, cer=15.49-20.98-21.41, time=34.5
epo514 <tr>-<gen>: l_dis=0.11-7.04, l_cla=3.18-4.05, l_rec=10.91-20.14, l1=0.00, cer=15.17-20.17-22.62, time=34.5
epo515 <tr>-<gen>: l_dis=0.16-5.86, l_cla=3.27-4.09, l_rec=9.89-20.50, l1=0.00, cer=14.17-20.87-21.05, time=34.3
epo516 <tr>-<gen>: l_dis=0.12-6.31, l_cla=3.25-3.85, l_rec=11.34-20.00, l1=0.00, cer=15.82-20.52-20.90, time=34.5
epo517 <tr>-<gen>: l_dis=0.14-6.69, l_cla=3.32-3.59, l_rec=11.80-19.89, l1=0.00, cer=16.20-20.35-20.79, time=34.4
epo518 <tr>-<gen>: l_dis=0.12-7.38, l_cla=3.31-3.94, l_rec=9.95-19.97, l1=0.00, cer=13.53-20.60-20.86, time=34.6
epo519 <tr>-<gen>: l_dis=0.18-6.32, l_cla=3.34-3.94, l_rec=10.79-20.87, l1=0.00, cer=14.29-20.92-20.54, time=34.4
epo520 <tr>-<gen>: l_dis=0.17-6.61, l_cla=3.17-3.86, l_rec=10.60-20.20, l1=0.00, cer=15.20-22.02-20.89, time=34.3
EVAL: l_dis=4.915, l_cla=11.931, l_rec=19.278, cer=20.97-19.78, time=11.2
epo521 <tr>-<gen>: l_dis=0.15-5.76, l_cla=3.25-3.66, l_rec=10.55-20.46, l1=0.00, cer=14.01-21.93-20.85, time=33.9
epo522 <tr>-<gen>: l_dis=0.13-6.48, l_cla=3.27-3.78, l_rec=10.84-19.44, l1=0.00, cer=16.77-19.70-19.69, time=34.5
epo523 <tr>-<gen>: l_dis=0.20-5.99, l_cla=3.34-3.71, l_rec=10.97-20.07, l1=0.00, cer=14.85-20.53-22.96, time=34.3
epo524 <tr>-<gen>: l_dis=0.14-6.69, l_cla=3.28-3.72, l_rec=10.61-19.82, l1=0.00, cer=14.06-20.86-21.38, time=34.4
epo525 <tr>-<gen>: l_dis=0.16-6.88, l_cla=3.14-3.86, l_rec=10.39-21.81, l1=0.00, cer=16.12-22.95-22.76, time=34.4
epo526 <tr>-<gen>: l_dis=0.18-5.81, l_cla=3.01-3.89, l_rec=10.78-20.40, l1=0.00, cer=15.72-20.91-21.90, time=34.3
epo527 <tr>-<gen>: l_dis=0.12-6.39, l_cla=3.19-3.75, l_rec=10.67-20.17, l1=0.00, cer=16.18-20.84-20.95, time=34.3
epo528 <tr>-<gen>: l_dis=0.16-6.29, l_cla=3.00-3.79, l_rec=9.88-20.45, l1=0.00, cer=14.61-20.74-20.91, time=34.2
epo529 <tr>-<gen>: l_dis=0.10-6.48, l_cla=3.07-3.88, l_rec=9.62-19.89, l1=0.00, cer=13.11-19.29-21.27, time=34.5
epo530 <tr>-<gen>: l_dis=0.19-6.51, l_cla=3.21-3.81, l_rec=9.84-20.23, l1=0.00, cer=12.36-21.44-23.70, time=34.2
epo531 <tr>-<gen>: l_dis=0.18-5.77, l_cla=3.12-3.54, l_rec=10.75-20.92, l1=0.00, cer=16.53-21.08-23.05, time=34.4
epo532 <tr>-<gen>: l_dis=0.12-6.65, l_cla=3.32-3.91, l_rec=9.39-20.75, l1=0.00, cer=12.30-20.85-22.63, time=34.3
epo533 <tr>-<gen>: l_dis=0.12-7.22, l_cla=3.29-3.88, l_rec=11.36-20.64, l1=0.00, cer=15.92-21.72-21.78, time=34.4
epo534 <tr>-<gen>: l_dis=0.11-7.95, l_cla=3.12-3.78, l_rec=10.93-20.83, l1=0.00, cer=16.70-21.78-21.63, time=34.5
epo535 <tr>-<gen>: l_dis=0.15-6.44, l_cla=3.18-3.74, l_rec=11.17-19.49, l1=0.00, cer=16.25-20.30-19.88, time=34.5
epo536 <tr>-<gen>: l_dis=0.18-5.16, l_cla=3.22-3.82, l_rec=10.31-20.01, l1=0.00, cer=13.87-19.55-20.85, time=34.7
epo537 <tr>-<gen>: l_dis=0.11-6.43, l_cla=3.00-3.78, l_rec=10.57-19.78, l1=0.00, cer=14.71-21.10-19.93, time=34.4
epo538 <tr>-<gen>: l_dis=0.15-7.63, l_cla=3.28-3.73, l_rec=10.61-20.59, l1=0.00, cer=15.10-20.41-21.46, time=34.4
epo539 <tr>-<gen>: l_dis=0.15-6.42, l_cla=3.09-4.04, l_rec=10.63-19.92, l1=0.00, cer=14.27-21.98-19.88, time=34.9
epo540 <tr>-<gen>: l_dis=0.17-6.44, l_cla=3.24-3.72, l_rec=11.54-20.21, l1=0.00, cer=17.38-19.69-21.20, time=34.6
EVAL: l_dis=6.973, l_cla=11.657, l_rec=19.009, cer=19.98-19.78, time=11.2
epo541 <tr>-<gen>: l_dis=0.19-5.91, l_cla=3.19-3.74, l_rec=9.85-19.26, l1=0.00, cer=13.28-20.43-19.66, time=33.9
epo542 <tr>-<gen>: l_dis=0.13-6.26, l_cla=3.21-3.47, l_rec=9.12-19.78, l1=0.00, cer=12.26-21.35-20.08, time=34.6
epo543 <tr>-<gen>: l_dis=0.12-7.48, l_cla=3.09-3.64, l_rec=9.82-20.71, l1=0.00, cer=14.37-21.04-21.03, time=34.4
epo544 <tr>-<gen>: l_dis=0.15-7.90, l_cla=3.12-3.85, l_rec=10.44-19.45, l1=0.00, cer=13.66-22.93-20.06, time=34.7
epo545 <tr>-<gen>: l_dis=0.12-6.44, l_cla=3.07-3.70, l_rec=10.33-18.90, l1=0.00, cer=13.90-18.68-19.65, time=34.5
epo546 <tr>-<gen>: l_dis=0.13-7.84, l_cla=3.10-3.62, l_rec=11.13-19.84, l1=0.00, cer=15.16-19.48-20.10, time=34.5
epo547 <tr>-<gen>: l_dis=0.12-6.47, l_cla=3.13-3.99, l_rec=9.17-19.53, l1=0.00, cer=11.97-21.82-19.63, time=34.8
epo548 <tr>-<gen>: l_dis=0.15-6.63, l_cla=3.22-3.84, l_rec=11.27-19.90, l1=0.00, cer=15.28-21.24-19.69, time=34.4
epo549 <tr>-<gen>: l_dis=0.11-6.23, l_cla=3.13-3.53, l_rec=10.54-18.38, l1=0.00, cer=13.76-19.81-17.77, time=34.3
epo550 <tr>-<gen>: l_dis=0.14-7.28, l_cla=3.29-3.68, l_rec=9.35-18.54, l1=0.00, cer=13.09-18.88-19.19, time=34.6
epo551 <tr>-<gen>: l_dis=0.15-6.27, l_cla=3.13-3.59, l_rec=9.82-19.68, l1=0.00, cer=13.46-20.79-20.36, time=34.7
epo552 <tr>-<gen>: l_dis=0.11-7.21, l_cla=3.18-3.90, l_rec=10.38-19.23, l1=0.00, cer=14.89-19.07-19.30, time=34.1
epo553 <tr>-<gen>: l_dis=0.18-5.87, l_cla=3.25-3.80, l_rec=10.51-19.45, l1=0.00, cer=14.71-19.09-20.62, time=35.5
epo554 <tr>-<gen>: l_dis=0.18-5.35, l_cla=3.13-3.53, l_rec=9.77-19.12, l1=0.00, cer=13.58-18.30-19.78, time=34.8
epo555 <tr>-<gen>: l_dis=0.14-6.49, l_cla=3.24-3.85, l_rec=9.50-19.71, l1=0.00, cer=13.84-20.03-19.96, time=34.4
epo556 <tr>-<gen>: l_dis=0.16-5.64, l_cla=3.03-3.73, l_rec=10.24-19.68, l1=0.00, cer=14.09-19.27-20.64, time=35.0
epo557 <tr>-<gen>: l_dis=0.12-6.33, l_cla=2.96-3.55, l_rec=9.50-18.95, l1=0.00, cer=12.83-19.28-19.77, time=34.5
epo558 <tr>-<gen>: l_dis=0.13-5.79, l_cla=3.02-3.96, l_rec=8.48-19.16, l1=0.00, cer=12.10-19.62-21.47, time=34.6
epo559 <tr>-<gen>: l_dis=0.14-6.90, l_cla=3.11-3.54, l_rec=8.94-18.92, l1=0.00, cer=13.06-20.57-20.39, time=34.5
epo560 <tr>-<gen>: l_dis=0.14-6.20, l_cla=3.06-3.64, l_rec=8.57-18.26, l1=0.00, cer=11.84-18.09-18.15, time=34.7
EVAL: l_dis=7.175, l_cla=12.216, l_rec=18.346, cer=21.19-20.22, time=11.2
epo561 <tr>-<gen>: l_dis=0.11-6.94, l_cla=3.14-3.49, l_rec=11.66-18.68, l1=0.00, cer=16.73-19.23-20.00, time=34.2
epo562 <tr>-<gen>: l_dis=0.16-6.74, l_cla=3.22-4.32, l_rec=10.56-20.00, l1=0.00, cer=13.77-20.22-21.35, time=34.3
epo563 <tr>-<gen>: l_dis=0.13-6.82, l_cla=3.10-3.90, l_rec=10.03-19.00, l1=0.00, cer=13.92-19.77-19.99, time=34.6
epo564 <tr>-<gen>: l_dis=0.12-6.83, l_cla=3.09-4.05, l_rec=10.22-19.21, l1=0.00, cer=14.20-20.78-19.73, time=34.6
epo565 <tr>-<gen>: l_dis=0.17-6.30, l_cla=3.16-3.84, l_rec=8.31-18.91, l1=0.00, cer=10.91-19.23-19.59, time=34.5
epo566 <tr>-<gen>: l_dis=0.15-6.97, l_cla=2.95-3.71, l_rec=9.13-18.38, l1=0.00, cer=13.17-17.71-20.83, time=34.5
epo567 <tr>-<gen>: l_dis=0.19-6.44, l_cla=3.06-3.65, l_rec=10.44-19.00, l1=0.00, cer=15.37-19.56-20.15, time=34.6
epo568 <tr>-<gen>: l_dis=0.15-5.70, l_cla=3.08-3.66, l_rec=10.11-18.42, l1=0.00, cer=12.75-19.04-19.69, time=34.4
epo569 <tr>-<gen>: l_dis=0.11-7.06, l_cla=3.24-3.47, l_rec=8.86-19.24, l1=0.00, cer=11.76-20.48-19.72, time=34.2
epo570 <tr>-<gen>: l_dis=0.17-6.56, l_cla=3.22-3.63, l_rec=9.06-18.85, l1=0.00, cer=11.70-19.81-19.75, time=34.6
epo571 <tr>-<gen>: l_dis=0.14-6.69, l_cla=3.06-3.81, l_rec=9.99-18.87, l1=0.00, cer=13.29-18.83-20.14, time=34.3
epo572 <tr>-<gen>: l_dis=0.15-6.15, l_cla=3.06-3.70, l_rec=9.78-18.75, l1=0.00, cer=13.81-18.69-19.97, time=34.5
epo573 <tr>-<gen>: l_dis=0.11-6.23, l_cla=2.98-3.39, l_rec=9.77-18.06, l1=0.00, cer=12.78-18.12-17.96, time=34.1
epo574 <tr>-<gen>: l_dis=0.18-5.73, l_cla=3.17-3.52, l_rec=9.33-18.46, l1=0.00, cer=13.00-19.48-17.87, time=34.5
epo575 <tr>-<gen>: l_dis=0.15-5.74, l_cla=3.03-3.54, l_rec=9.61-17.94, l1=0.00, cer=13.12-17.64-18.76, time=34.4
epo576 <tr>-<gen>: l_dis=0.13-6.66, l_cla=2.97-3.51, l_rec=10.21-18.18, l1=0.00, cer=13.81-19.52-17.16, time=34.0
epo577 <tr>-<gen>: l_dis=0.17-5.82, l_cla=3.12-3.71, l_rec=9.28-18.52, l1=0.00, cer=12.81-19.11-18.64, time=34.3
epo578 <tr>-<gen>: l_dis=0.15-6.27, l_cla=3.09-3.81, l_rec=8.87-17.46, l1=0.00, cer=11.93-17.91-17.68, time=34.3
epo579 <tr>-<gen>: l_dis=0.10-6.28, l_cla=3.09-3.67, l_rec=9.74-18.60, l1=0.00, cer=12.26-18.66-17.18, time=34.6
epo580 <tr>-<gen>: l_dis=0.15-5.78, l_cla=2.94-3.56, l_rec=9.35-17.90, l1=0.00, cer=12.72-18.00-19.28, time=34.0
EVAL: l_dis=4.815, l_cla=11.825, l_rec=16.988, cer=19.65-18.38, time=11.3
epo581 <tr>-<gen>: l_dis=0.14-6.57, l_cla=3.09-3.36, l_rec=9.75-17.70, l1=0.00, cer=13.21-17.89-18.40, time=33.8
epo582 <tr>-<gen>: l_dis=0.14-5.61, l_cla=2.96-3.71, l_rec=8.98-19.05, l1=0.00, cer=12.47-20.69-18.94, time=34.2
epo583 <tr>-<gen>: l_dis=0.13-6.87, l_cla=2.87-3.85, l_rec=8.69-17.75, l1=0.00, cer=11.39-19.03-18.32, time=34.1
epo584 <tr>-<gen>: l_dis=0.14-6.09, l_cla=3.11-3.50, l_rec=9.08-17.83, l1=0.00, cer=11.74-17.72-18.29, time=34.5
epo585 <tr>-<gen>: l_dis=0.14-6.29, l_cla=3.10-3.57, l_rec=9.22-18.36, l1=0.00, cer=12.75-16.98-19.32, time=34.3
epo586 <tr>-<gen>: l_dis=0.22-5.73, l_cla=3.06-3.64, l_rec=9.39-17.80, l1=0.00, cer=12.49-18.21-16.84, time=34.5
epo587 <tr>-<gen>: l_dis=0.11-6.41, l_cla=3.09-3.53, l_rec=9.11-17.48, l1=0.00, cer=11.57-17.02-18.03, time=34.3
epo588 <tr>-<gen>: l_dis=0.17-6.25, l_cla=2.93-3.48, l_rec=9.05-17.43, l1=0.00, cer=12.72-17.00-17.34, time=34.4
epo589 <tr>-<gen>: l_dis=0.15-6.18, l_cla=3.04-3.52, l_rec=7.81-16.98, l1=0.00, cer=11.15-16.49-17.70, time=34.5
epo590 <tr>-<gen>: l_dis=0.15-8.00, l_cla=3.08-3.64, l_rec=9.87-18.48, l1=0.00, cer=13.00-18.63-19.01, time=34.4
epo591 <tr>-<gen>: l_dis=0.16-5.76, l_cla=3.05-3.66, l_rec=9.10-17.61, l1=0.00, cer=13.25-17.23-17.70, time=34.2
epo592 <tr>-<gen>: l_dis=0.17-5.94, l_cla=3.02-3.56, l_rec=9.52-18.77, l1=0.00, cer=12.51-19.32-19.61, time=34.5
epo593 <tr>-<gen>: l_dis=0.15-5.68, l_cla=3.11-3.52, l_rec=9.61-17.36, l1=0.00, cer=13.53-18.61-17.22, time=34.4
epo594 <tr>-<gen>: l_dis=0.14-7.06, l_cla=3.10-3.71, l_rec=9.80-17.46, l1=0.00, cer=13.02-18.32-15.88, time=34.5
epo595 <tr>-<gen>: l_dis=0.16-5.94, l_cla=3.10-3.58, l_rec=10.23-17.95, l1=0.00, cer=14.28-16.13-19.16, time=34.5
epo596 <tr>-<gen>: l_dis=0.10-6.66, l_cla=2.95-3.42, l_rec=9.99-17.97, l1=0.00, cer=13.19-19.25-17.89, time=34.3
epo597 <tr>-<gen>: l_dis=0.12-7.30, l_cla=3.11-3.70, l_rec=9.10-18.49, l1=0.00, cer=13.52-18.39-20.10, time=34.5
epo598 <tr>-<gen>: l_dis=0.19-6.07, l_cla=2.92-3.62, l_rec=9.29-17.21, l1=0.00, cer=12.10-17.26-17.75, time=34.7
epo599 <tr>-<gen>: l_dis=0.09-6.92, l_cla=2.93-3.44, l_rec=8.55-17.96, l1=0.00, cer=11.61-18.02-18.79, time=34.5
epo600 <tr>-<gen>: l_dis=0.14-6.38, l_cla=3.06-3.63, l_rec=9.78-18.74, l1=0.00, cer=12.53-20.03-19.55, time=34.3
EVAL: l_dis=6.455, l_cla=11.710, l_rec=17.548, cer=18.65-19.78, time=11.2
epo601 <tr>-<gen>: l_dis=0.15-6.00, l_cla=3.13-3.64, l_rec=9.20-18.33, l1=0.00, cer=13.37-17.39-20.86, time=33.9
epo602 <tr>-<gen>: l_dis=0.12-6.18, l_cla=2.95-3.39, l_rec=9.09-17.99, l1=0.00, cer=12.25-18.22-18.64, time=34.3
epo603 <tr>-<gen>: l_dis=0.14-6.81, l_cla=3.15-3.75, l_rec=9.24-18.02, l1=0.00, cer=11.93-19.68-17.99, time=34.7
epo604 <tr>-<gen>: l_dis=0.13-6.68, l_cla=2.87-3.68, l_rec=8.19-17.52, l1=0.00, cer=9.83-18.06-17.03, time=34.5
epo605 <tr>-<gen>: l_dis=0.18-7.16, l_cla=2.96-3.47, l_rec=8.86-18.34, l1=0.00, cer=12.19-17.66-18.84, time=34.8
epo606 <tr>-<gen>: l_dis=0.13-7.26, l_cla=2.98-3.64, l_rec=8.04-18.66, l1=0.00, cer=11.95-20.17-18.06, time=34.5
epo607 <tr>-<gen>: l_dis=0.16-6.27, l_cla=2.96-3.68, l_rec=8.83-17.91, l1=0.00, cer=11.91-17.68-18.07, time=34.6
epo608 <tr>-<gen>: l_dis=0.13-7.08, l_cla=2.98-3.81, l_rec=9.88-17.95, l1=0.00, cer=13.81-19.63-16.71, time=34.6
epo609 <tr>-<gen>: l_dis=0.13-7.20, l_cla=2.97-3.47, l_rec=9.66-17.54, l1=0.00, cer=12.27-17.70-19.05, time=34.9
epo610 <tr>-<gen>: l_dis=0.16-6.72, l_cla=2.96-3.67, l_rec=8.14-18.72, l1=0.00, cer=11.41-18.39-19.96, time=34.5
epo611 <tr>-<gen>: l_dis=0.16-6.84, l_cla=2.92-3.97, l_rec=9.17-17.97, l1=0.00, cer=12.78-19.56-17.80, time=34.4
epo612 <tr>-<gen>: l_dis=0.11-6.47, l_cla=2.93-3.51, l_rec=9.29-16.92, l1=0.00, cer=11.62-17.59-15.90, time=34.4
epo613 <tr>-<gen>: l_dis=0.11-6.44, l_cla=3.06-3.55, l_rec=8.25-16.57, l1=0.00, cer=11.66-15.73-16.29, time=35.0
epo614 <tr>-<gen>: l_dis=0.12-7.18, l_cla=2.96-3.77, l_rec=8.33-17.15, l1=0.00, cer=11.19-17.14-16.40, time=34.4
epo615 <tr>-<gen>: l_dis=0.18-6.62, l_cla=3.08-3.86, l_rec=9.07-18.05, l1=0.00, cer=12.28-17.67-18.31, time=34.3
epo616 <tr>-<gen>: l_dis=0.15-6.29, l_cla=2.96-3.61, l_rec=8.91-17.60, l1=0.00, cer=13.48-16.58-18.49, time=34.5
epo617 <tr>-<gen>: l_dis=0.09-6.65, l_cla=2.93-3.52, l_rec=8.53-17.37, l1=0.00, cer=11.95-18.08-17.03, time=34.4
epo618 <tr>-<gen>: l_dis=0.13-7.35, l_cla=3.04-3.50, l_rec=8.12-18.23, l1=0.00, cer=9.97-19.10-18.08, time=34.4
epo619 <tr>-<gen>: l_dis=0.11-7.34, l_cla=2.93-3.59, l_rec=8.12-16.75, l1=0.00, cer=11.87-17.86-16.96, time=34.4
epo620 <tr>-<gen>: l_dis=0.15-6.76, l_cla=3.04-3.72, l_rec=7.35-17.49, l1=0.00, cer=10.36-17.94-16.98, time=34.4
EVAL: l_dis=6.305, l_cla=11.945, l_rec=18.022, cer=17.99-18.59, time=11.7
epo621 <tr>-<gen>: l_dis=0.15-6.05, l_cla=3.04-4.08, l_rec=9.16-17.24, l1=0.00, cer=11.81-17.75-16.97, time=34.0
epo622 <tr>-<gen>: l_dis=0.10-7.55, l_cla=2.93-3.72, l_rec=8.84-17.52, l1=0.00, cer=11.76-17.74-18.08, time=34.9
epo623 <tr>-<gen>: l_dis=0.09-7.37, l_cla=2.95-3.61, l_rec=9.05-17.95, l1=0.00, cer=11.44-18.32-17.66, time=34.8
epo624 <tr>-<gen>: l_dis=0.16-7.35, l_cla=2.86-3.74, l_rec=9.38-17.92, l1=0.00, cer=12.44-17.03-17.67, time=34.2
epo625 <tr>-<gen>: l_dis=0.21-5.91, l_cla=2.80-3.56, l_rec=8.73-17.50, l1=0.00, cer=11.30-17.74-16.98, time=34.9
epo626 <tr>-<gen>: l_dis=0.12-5.81, l_cla=2.94-3.48, l_rec=7.69-17.02, l1=0.00, cer=10.33-15.58-16.68, time=34.3
